Code,Description
H65.114,"acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, right ear"
H65.115,"acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, left ear"
H65.116,"acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, bilateral"
H65.117,"acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, unspecified ear"
H65.119,"acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), unspecified ear"
H65.191,"other acute nonsuppurative otitis media, right ear"
H65.192,"other acute nonsuppurative otitis media, left ear"
H65.193,"other acute nonsuppurative otitis media, bilateral"
H65.194,"other acute nonsuppurative otitis media, recurrent, right ear"
H65.195,"other acute nonsuppurative otitis media, recurrent, left ear"
H65.196,"other acute nonsuppurative otitis media, recurrent, bilateral"
H65.197,"other acute nonsuppurative otitis media recurrent, unspecified ear"
H65.199,"other acute nonsuppurative otitis media, unspecified ear"
H65.20,"chronic serous otitis media, unspecified ear"
H65.21,"chronic serous otitis media, right ear"
H65.22,"chronic serous otitis media, left ear"
H65.23,"chronic serous otitis media, bilateral"
H65.30,"chronic mucoid otitis media, unspecified ear"
H65.31,"chronic mucoid otitis media, right ear"
H65.32,"chronic mucoid otitis media, left ear"
H65.33,"chronic mucoid otitis media, bilateral"
H65.411,"chronic allergic otitis media, right ear"
H65.412,"chronic allergic otitis media, left ear"
H65.413,"chronic allergic otitis media, bilateral"
H65.419,"chronic allergic otitis media, unspecified ear"
H65.491,"other chronic nonsuppurative otitis media, right ear"
H65.492,"other chronic nonsuppurative otitis media, left ear"
H65.493,"other chronic nonsuppurative otitis media, bilateral"
H65.499,"other chronic nonsuppurative otitis media, unspecified ear"
H65.90,"unspecified nonsuppurative otitis media, unspecified ear"
H65.91,"unspecified nonsuppurative otitis media, right ear"
H65.92,"unspecified nonsuppurative otitis media, left ear"
H65.93,"unspecified nonsuppurative otitis media, bilateral"
H66.001,"acute suppurative otitis media without spontaneous rupture of ear drum, right ear"
H66.002,"acute suppurative otitis media without spontaneous rupture of ear drum, left ear"
H66.003,"acute suppurative otitis media without spontaneous rupture of ear drum, bilateral"
H66.004,"acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, right ear"
H66.005,"acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, left ear"
H66.006,"acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, bilateral"
H66.007,"acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, unspecified ear"
H66.009,"acute suppurative otitis media without spontaneous rupture of ear drum, unspecified ear"
H66.011,"acute suppurative otitis media with spontaneous rupture of ear drum, right ear"
H66.012,"acute suppurative otitis media with spontaneous rupture of ear drum, left ear"
H66.013,"acute suppurative otitis media with spontaneous rupture of ear drum, bilateral"
H66.014,"acute suppurative otitis media with spontaneous rupture of ear drum, recurrent, right ear"
H66.015,"acute suppurative otitis media with spontaneous rupture of ear drum, recurrent, left ear"
H66.016,"acute suppurative otitis media with spontaneous rupture of ear drum, recurrent, bilateral"
H66.017,"acute suppurative otitis media with spontaneous rupture of ear drum, recurrent, unspecified ear"
H66.019,"acute suppurative otitis media with spontaneous rupture of ear drum, unspecified ear"
H66.10,"chronic tubotympanic suppurative otitis media, unspecified"
H66.11,"chronic tubotympanic suppurative otitis media, right ear"
H66.12,"chronic tubotympanic suppurative otitis media, left ear"
H66.13,"chronic tubotympanic suppurative otitis media, bilateral"
H66.20,"chronic atticoantral suppurative otitis media, unspecified ear"
H66.21,"chronic atticoantral suppurative otitis media, right ear"
H66.22,"chronic atticoantral suppurative otitis media, left ear"
H66.23,"chronic atticoantral suppurative otitis media, bilateral"
H66.3X1,"other chronic suppurative otitis media, right ear"
H66.3X2,"other chronic suppurative otitis media, left ear"
H66.3X3,"other chronic suppurative otitis media, bilateral"
H66.3X9,"other chronic suppurative otitis media, unspecified ear"
H66.40,"suppurative otitis media, unspecified, unspecified ear"
H66.41,"suppurative otitis media, unspecified, right ear"
H66.42,"suppurative otitis media, unspecified, left ear"
H66.43,"suppurative otitis media, unspecified, bilateral"
H66.90,"otitis media, unspecified, unspecified ear"
H66.91,"otitis media, unspecified, right ear"
H66.92,"otitis media, unspecified, left ear"
H66.93,"otitis media, unspecified, bilateral"
H67.1,"otitis media in diseases classified elsewhere, right ear"
H67.2,"otitis media in diseases classified elsewhere, left ear"
H67.3,"otitis media in diseases classified elsewhere, bilateral"
H67.9,"otitis media in diseases classified elsewhere, unspecified ear"
H68.001,"unspecified eustachian salpingitis, right ear"
H68.002,"unspecified eustachian salpingitis, left ear"
H68.003,"unspecified eustachian salpingitis, bilateral"
H68.009,"unspecified eustachian salpingitis, unspecified ear"
H68.011,"acute eustachian salpingitis, right ear"
H68.012,"acute eustachian salpingitis, left ear"
H68.013,"acute eustachian salpingitis, bilateral"
H68.019,"acute eustachian salpingitis, unspecified ear"
H68.021,"chronic eustachian salpingitis, right ear"
H68.022,"chronic eustachian salpingitis, left ear"
H68.023,"chronic eustachian salpingitis, bilateral"
H68.029,"chronic eustachian salpingitis, unspecified ear"
H68.101,"unspecified obstruction of eustachian tube, right ear"
H68.102,"unspecified obstruction of eustachian tube, left ear"
H68.103,"unspecified obstruction of eustachian tube, bilateral"
H68.109,"unspecified obstruction of eustachian tube, unspecified ear"
H68.111,"osseous obstruction of eustachian tube, right ear"
H68.112,"osseous obstruction of eustachian tube, left ear"
H68.113,"osseous obstruction of eustachian tube, bilateral"
H68.119,"osseous obstruction of eustachian tube, unspecified ear"
H68.121,"intrinsic cartilagenous obstruction of eustachian tube, right ear"
H68.122,"intrinsic cartilagenous obstruction of eustachian tube, left ear"
H68.123,"intrinsic cartilagenous obstruction of eustachian tube, bilateral"
H68.129,"intrinsic cartilagenous obstruction of eustachian tube, unspecified ear"
H68.131,"extrinsic cartilagenous obstruction of eustachian tube, right ear"
H68.132,"extrinsic cartilagenous obstruction of eustachian tube, left ear"
H68.133,"extrinsic cartilagenous obstruction of eustachian tube, bilateral"
H68.139,"extrinsic cartilagenous obstruction of eustachian tube, unspecified ear"
H69.00,"patulous eustachian tube, unspecified ear"
H69.01,"patulous eustachian tube, right ear"
H69.02,"patulous eustachian tube, left ear"
H69.03,"patulous eustachian tube, bilateral"
H69.80,"other specified disorders of eustachian tube, unspecified ear"
H69.81,"other specified disorders of eustachian tube, right ear"
H69.82,"other specified disorders of eustachian tube, left ear"
H69.83,"other specified disorders of eustachian tube, bilateral"
H69.90,"unspecified eustachian tube disorder, unspecified ear"
H69.91,"unspecified eustachian tube disorder, right ear"
H69.92,"unspecified eustachian tube disorder, left ear"
H69.93,"unspecified eustachian tube disorder, bilateral"
H70.001,"acute mastoiditis without complications, right ear"
H70.002,"acute mastoiditis without complications, left ear"
H70.003,"acute mastoiditis without complications, bilateral"
H70.009,"acute mastoiditis without complications, unspecified ear"
H70.011,"subperiosteal abscess of mastoid, right ear"
H70.012,"subperiosteal abscess of mastoid, left ear"
H70.013,"subperiosteal abscess of mastoid, bilateral"
H70.019,"subperiosteal abscess of mastoid, unspecified ear"
H70.091,"acute mastoiditis with other complications, right ear"
H70.092,"acute mastoiditis with other complications, left ear"
H70.093,"acute mastoiditis with other complications, bilateral"
H70.099,"acute mastoiditis with other complications, unspecified ear"
H70.10,"chronic mastoiditis, unspecified ear"
H70.11,"chronic mastoiditis, right ear"
H70.12,"chronic mastoiditis, left ear"
H70.13,"chronic mastoiditis, bilateral"
H70.201,"unspecified petrositis, right ear"
H70.202,"unspecified petrositis, left ear"
H70.203,"unspecified petrositis, bilateral"
H70.209,"unspecified petrositis, unspecified ear"
H70.211,"acute petrositis, right ear"
H70.212,"acute petrositis, left ear"
H70.213,"acute petrositis, bilateral"
H70.219,"acute petrositis, unspecified ear"
H70.221,"chronic petrositis, right ear"
H70.222,"chronic petrositis, left ear"
H70.223,"chronic petrositis, bilateral"
H70.229,"chronic petrositis, unspecified ear"
H70.811,"postauricular fistula, right ear"
H70.812,"postauricular fistula, left ear"
H70.813,"postauricular fistula, bilateral"
H70.819,"postauricular fistula, unspecified ear"
H70.891,"other mastoiditis and related conditions, right ear"
H70.892,"other mastoiditis and related conditions, left ear"
H70.893,"other mastoiditis and related conditions, bilateral"
H70.899,"other mastoiditis and related conditions, unspecified ear"
H70.90,"unspecified mastoiditis, unspecified ear"
H70.91,"unspecified mastoiditis, right ear"
H70.92,"unspecified mastoiditis, left ear"
H70.93,"unspecified mastoiditis, bilateral"
H71.00,"cholesteatoma of attic, unspecified ear"
H71.01,"cholesteatoma of attic, right ear"
H71.02,"cholesteatoma of attic, left ear"
H71.03,"cholesteatoma of attic, bilateral"
H71.10,"cholesteatoma of tympanum, unspecified ear"
H71.11,"cholesteatoma of tympanum, right ear"
H71.12,"cholesteatoma of tympanum, left ear"
H71.13,"cholesteatoma of tympanum, bilateral"
H71.20,"cholesteatoma of mastoid, unspecified ear"
H71.21,"cholesteatoma of mastoid, right ear"
H71.22,"cholesteatoma of mastoid, left ear"
H71.23,"cholesteatoma of mastoid, bilateral"
H71.30,"diffuse cholesteatosis, unspecified ear"
H71.31,"diffuse cholesteatosis, right ear"
H71.32,"diffuse cholesteatosis, left ear"
H71.33,"diffuse cholesteatosis, bilateral"
H71.90,"unspecified cholesteatoma, unspecified ear"
H71.91,"unspecified cholesteatoma, right ear"
H71.92,"unspecified cholesteatoma, left ear"
H71.93,"unspecified cholesteatoma, bilateral"
H72.00,"central perforation of tympanic membrane, unspecified ear"
H72.01,"central perforation of tympanic membrane, right ear"
H72.02,"central perforation of tympanic membrane, left ear"
H72.03,"central perforation of tympanic membrane, bilateral"
H72.10,"attic perforation of tympanic membrane, unspecified ear"
H72.11,"attic perforation of tympanic membrane, right ear"
H72.12,"attic perforation of tympanic membrane, left ear"
H72.13,"attic perforation of tympanic membrane, bilateral"
H72.2X1,"other marginal perforations of tympanic membrane, right ear"
H72.2X2,"other marginal perforations of tympanic membrane, left ear"
H72.2X3,"other marginal perforations of tympanic membrane, bilateral"
H72.2X9,"other marginal perforations of tympanic membrane, unspecified ear"
H72.811,"multiple perforations of tympanic membrane, right ear"
H72.812,"multiple perforations of tympanic membrane, left ear"
H72.813,"multiple perforations of tympanic membrane, bilateral"
H72.819,"multiple perforations of tympanic membrane, unspecified ear"
H72.821,"total perforations of tympanic membrane, right ear"
H72.822,"total perforations of tympanic membrane, left ear"
H72.823,"total perforations of tympanic membrane, bilateral"
H72.829,"total perforations of tympanic membrane, unspecified ear"
H72.90,"unspecified perforation of tympanic membrane, unspecified ear"
H72.91,"unspecified perforation of tympanic membrane, right ear"
H72.92,"unspecified perforation of tympanic membrane, left ear"
H72.93,"unspecified perforation of tympanic membrane, bilateral"
H73.001,"acute myringitis, right ear"
H73.002,"acute myringitis, left ear"
H73.003,"acute myringitis, bilateral"
H73.009,"acute myringitis, unspecified ear"
H73.011,"bullous myringitis, right ear"
H73.012,"bullous myringitis, left ear"
H73.013,"bullous myringitis, bilateral"
H73.019,"bullous myringitis, unspecified ear"
H73.091,"other acute myringitis, right ear"
H73.092,"other acute myringitis, left ear"
H73.093,"other acute myringitis, bilateral"
H73.099,"other acute myringitis, unspecified ear"
H73.10,"chronic myringitis, unspecified ear"
H73.11,"chronic myringitis, right ear"
H73.12,"chronic myringitis, left ear"
H73.13,"chronic myringitis, bilateral"
H73.20,"unspecified myringitis, unspecified ear"
H73.21,"unspecified myringitis, right ear"
H73.22,"unspecified myringitis, left ear"
H73.23,"unspecified myringitis, bilateral"
H73.811,"atrophic flaccid tympanic membrane, right ear"
H73.812,"atrophic flaccid tympanic membrane, left ear"
H73.813,"atrophic flaccid tympanic membrane, bilateral"
H73.819,"atrophic flaccid tympanic membrane, unspecified ear"
H73.821,"atrophic nonflaccid tympanic membrane, right ear"
H73.822,"atrophic nonflaccid tympanic membrane, left ear"
H73.823,"atrophic nonflaccid tympanic membrane, bilateral"
H73.829,"atrophic nonflaccid tympanic membrane, unspecified ear"
H73.891,"other specified disorders of tympanic membrane, right ear"
H73.892,"other specified disorders of tympanic membrane, left ear"
H73.893,"other specified disorders of tympanic membrane, bilateral"
H73.899,"other specified disorders of tympanic membrane, unspecified ear"
H73.90,"unspecified disorder of tympanic membrane, unspecified ear"
H73.91,"unspecified disorder of tympanic membrane, right ear"
H73.92,"unspecified disorder of tympanic membrane, left ear"
H73.93,"unspecified disorder of tympanic membrane, bilateral"
H74.01,"tympanosclerosis, right ear"
H74.02,"tympanosclerosis, left ear"
H74.03,"tympanosclerosis, bilateral"
H74.09,"tympanosclerosis, unspecified ear"
H74.11,adhesive right middle ear disease
H74.12,adhesive left middle ear disease
H74.13,"adhesive middle ear disease, bilateral"
H74.19,"adhesive middle ear disease, unspecified ear"
H74.20,"discontinuity and dislocation of ear ossicles, unspecified ear"
H74.21,discontinuity and dislocation of right ear ossicles
H74.22,discontinuity and dislocation of left ear ossicles
H74.23,"discontinuity and dislocation of ear ossicles, bilateral"
H74.311,"ankylosis of ear ossicles, right ear"
H74.312,"ankylosis of ear ossicles, left ear"
H74.313,"ankylosis of ear ossicles, bilateral"
H74.319,"ankylosis of ear ossicles, unspecified ear"
H74.321,"partial loss of ear ossicles, right ear"
H74.322,"partial loss of ear ossicles, left ear"
H74.323,"partial loss of ear ossicles, bilateral"
H74.329,"partial loss of ear ossicles, unspecified ear"
H74.391,other acquired abnormalities of right ear ossicles
H74.392,other acquired abnormalities of left ear ossicles
H74.393,"other acquired abnormalities of ear ossicles, bilateral"
H74.399,"other acquired abnormalities of ear ossicles, unspecified ear"
H74.40,"polyp of middle ear, unspecified ear"
H74.41,polyp of right middle ear
H74.42,polyp of left middle ear
H74.43,"polyp of middle ear, bilateral"
H74.8X1,other specified disorders of right middle ear and mastoid
H74.8X2,other specified disorders of left middle ear and mastoid
H74.8X3,"other specified disorders of middle ear and mastoid, bilateral"
H74.8X9,"other specified disorders of middle ear and mastoid, unspecified ear"
H74.90,"unspecified disorder of middle ear and mastoid, unspecified ear"
H74.91,unspecified disorder of right middle ear and mastoid
H74.92,unspecified disorder of left middle ear and mastoid
H74.93,"unspecified disorder of middle ear and mastoid, bilateral"
H75.00,"mastoiditis in infectious and parasitic diseases classified elsewhere, unspecified ear"
H75.01,"mastoiditis in infectious and parasitic diseases classified elsewhere, right ear"
H75.02,"mastoiditis in infectious and parasitic diseases classified elsewhere, left ear"
H75.03,"mastoiditis in infectious and parasitic diseases classified elsewhere, bilateral"
H75.80,"other specified disorders of middle ear and mastoid in diseases classified elsewhere, unspecified ear"
H75.81,other specified disorders of right middle ear and mastoid in diseases classified elsewhere
H75.82,other specified disorders of left middle ear and mastoid in diseases classified elsewhere
H75.83,"other specified disorders of middle ear and mastoid in diseases classified elsewhere, bilateral"
H80.00,"otosclerosis involving oval window, nonobliterative, unspecified ear"
H80.01,"otosclerosis involving oval window, nonobliterative, right ear"
H80.02,"otosclerosis involving oval window, nonobliterative, left ear"
H80.03,"otosclerosis involving oval window, nonobliterative, bilateral"
H80.10,"otosclerosis involving oval window, obliterative, unspecified ear"
H80.11,"otosclerosis involving oval window, obliterative, right ear"
H80.12,"otosclerosis involving oval window, obliterative, left ear"
H80.13,"otosclerosis involving oval window, obliterative, bilateral"
H80.20,"cochlear otosclerosis, unspecified ear"
H80.21,"cochlear otosclerosis, right ear"
H80.22,"cochlear otosclerosis, left ear"
H80.23,"cochlear otosclerosis, bilateral"
H80.80,"other otosclerosis, unspecified ear"
H80.81,"other otosclerosis, right ear"
H80.82,"other otosclerosis, left ear"
H80.83,"other otosclerosis, bilateral"
H80.90,"unspecified otosclerosis, unspecified ear"
H80.91,"unspecified otosclerosis, right ear"
H80.92,"unspecified otosclerosis, left ear"
H80.93,"unspecified otosclerosis, bilateral"
H81.01,"meniere's disease, right ear"
H81.02,"meniere's disease, left ear"
H81.03,"meniere's disease, bilateral"
H81.09,"meniere's disease, unspecified ear"
H81.10,"benign paroxysmal vertigo, unspecified ear"
H81.11,"benign paroxysmal vertigo, right ear"
H81.12,"benign paroxysmal vertigo, left ear"
H81.13,"benign paroxysmal vertigo, bilateral"
H81.20,"vestibular neuronitis, unspecified ear"
H81.21,"vestibular neuronitis, right ear"
H81.22,"vestibular neuronitis, left ear"
H81.23,"vestibular neuronitis, bilateral"
H81.311,"aural vertigo, right ear"
H81.312,"aural vertigo, left ear"
H81.313,"aural vertigo, bilateral"
H81.319,"aural vertigo, unspecified ear"
H81.391,"other peripheral vertigo, right ear"
H81.392,"other peripheral vertigo, left ear"
H81.393,"other peripheral vertigo, bilateral"
H81.399,"other peripheral vertigo, unspecified ear"
H81.4,vertigo of central origin
H81.8X1,"other disorders of vestibular function, right ear"
H81.8X2,"other disorders of vestibular function, left ear"
H81.8X3,"other disorders of vestibular function, bilateral"
H81.8X9,"other disorders of vestibular function, unspecified ear"
H81.90,"unspecified disorder of vestibular function, unspecified ear"
H81.91,"unspecified disorder of vestibular function, right ear"
H81.92,"unspecified disorder of vestibular function, left ear"
H81.93,"unspecified disorder of vestibular function, bilateral"
H82.1,"vertiginous syndromes in diseases classified elsewhere, right ear"
H82.2,"vertiginous syndromes in diseases classified elsewhere, left ear"
H82.3,"vertiginous syndromes in diseases classified elsewhere, bilateral"
H82.9,"vertiginous syndromes in diseases classified elsewhere, unspecified ear"
H83.01,"labyrinthitis, right ear"
H83.02,"labyrinthitis, left ear"
H83.03,"labyrinthitis, bilateral"
H83.09,"labyrinthitis, unspecified ear"
H83.11,"labyrinthine fistula, right ear"
H83.12,"labyrinthine fistula, left ear"
H83.13,"labyrinthine fistula, bilateral"
H83.19,"labyrinthine fistula, unspecified ear"
H83.2X1,"labyrinthine dysfunction, right ear"
H83.2X2,"labyrinthine dysfunction, left ear"
H83.2X3,"labyrinthine dysfunction, bilateral"
H83.2X9,"labyrinthine dysfunction, unspecified ear"
H83.3X1,noise effects on right inner ear
H83.3X2,noise effects on left inner ear
H83.3X3,"noise effects on inner ear, bilateral"
H83.3X9,"noise effects on inner ear, unspecified ear"
H83.8X1,other specified diseases of right inner ear
H83.8X2,other specified diseases of left inner ear
H83.8X3,"other specified diseases of inner ear, bilateral"
H83.8X9,"other specified diseases of inner ear, unspecified ear"
H83.90,"unspecified disease of inner ear, unspecified ear"
H83.91,unspecified disease of right inner ear
H83.92,unspecified disease of left inner ear
H83.93,"unspecified disease of inner ear, bilateral"
H90.0,"conductive hearing loss, bilateral"
H90.11,"conductive hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side"
H90.12,"conductive hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side"
H90.2,"conductive hearing loss, unspecified"
H90.3,"sensorineural hearing loss, bilateral"
H90.41,"sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side"
H90.42,"sensorineural hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side"
H90.5,unspecified sensorineural hearing loss
H90.6,"mixed conductive and sensorineural hearing loss, bilateral"
H90.71,"mixed conductive and sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side"
H90.72,"mixed conductive and sensorineural hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side"
H90.8,"mixed conductive and sensorineural hearing loss, unspecified"
H90.A11,"conductive hearing loss, unilateral, right ear with restricted hearing on the contralateral side"
H90.A12,"conductive hearing loss, unilateral, left ear with restricted hearing on the contralateral side"
H90.A21,"sensorineural hearing loss, unilateral, right ear, with restricted hearing on the contralateral side"
H90.A22,"sensorineural hearing loss, unilateral, left ear, with restricted hearing on the contralateral side"
H90.A31,"mixed conductive and sensorineural hearing loss, unilateral, right ear with restricted hearing on the contralateral side"
H90.A32,"mixed conductive and sensorineural hearing loss, unilateral, left ear with restricted hearing on the contralateral side"
H91.01,"ototoxic hearing loss, right ear"
H91.02,"ototoxic hearing loss, left ear"
H91.03,"ototoxic hearing loss, bilateral"
H91.09,"ototoxic hearing loss, unspecified ear"
H91.10,"presbycusis, unspecified ear"
H91.11,"presbycusis, right ear"
H91.12,"presbycusis, left ear"
H91.13,"presbycusis, bilateral"
H91.20,"sudden idiopathic hearing loss, unspecified ear"
H91.21,"sudden idiopathic hearing loss, right ear"
H91.22,"sudden idiopathic hearing loss, left ear"
H91.23,"sudden idiopathic hearing loss, bilateral"
H91.3,"deaf nonspeaking, not elsewhere classified"
H91.8X1,"other specified hearing loss, right ear"
H91.8X2,"other specified hearing loss, left ear"
H91.8X3,"other specified hearing loss, bilateral"
H91.8X9,"other specified hearing loss, unspecified ear"
H91.90,"unspecified hearing loss, unspecified ear"
H91.91,"unspecified hearing loss, right ear"
H91.92,"unspecified hearing loss, left ear"
H91.93,"unspecified hearing loss, bilateral"
H92.01,"otalgia, right ear"
H92.02,"otalgia, left ear"
H92.03,"otalgia, bilateral"
H92.09,"otalgia, unspecified ear"
H92.10,"otorrhea, unspecified ear"
H92.11,"otorrhea, right ear"
H92.12,"otorrhea, left ear"
H92.13,"otorrhea, bilateral"
H92.20,"otorrhagia, unspecified ear"
H92.21,"otorrhagia, right ear"
H92.22,"otorrhagia, left ear"
H92.23,"otorrhagia, bilateral"
H93.011,"transient ischemic deafness, right ear"
H93.012,"transient ischemic deafness, left ear"
H93.013,"transient ischemic deafness, bilateral"
H93.019,"transient ischemic deafness, unspecified ear"
H93.091,unspecified degenerative and vascular disorders of right ear
H93.092,unspecified degenerative and vascular disorders of left ear
H93.093,"unspecified degenerative and vascular disorders of ear, bilateral"
H93.099,unspecified degenerative and vascular disorders of unspecified ear
H93.11,"tinnitus, right ear"
H93.12,"tinnitus, left ear"
H93.13,"tinnitus, bilateral"
H93.19,"tinnitus, unspecified ear"
H93.A1,"pulsatile tinnitus, right ear"
H93.A2,"pulsatile tinnitus, left ear"
H93.A3,"pulsatile tinnitus, bilateral"
H93.A9,"pulsatile tinnitus, unspecified ear"
H93.211,"auditory recruitment, right ear"
H93.212,"auditory recruitment, left ear"
H93.213,"auditory recruitment, bilateral"
H93.219,"auditory recruitment, unspecified ear"
H93.221,"diplacusis, right ear"
H93.222,"diplacusis, left ear"
H93.223,"diplacusis, bilateral"
H93.229,"diplacusis, unspecified ear"
H93.231,"hyperacusis, right ear"
H93.232,"hyperacusis, left ear"
H93.233,"hyperacusis, bilateral"
H93.239,"hyperacusis, unspecified ear"
H93.241,"temporary auditory threshold shift, right ear"
H93.242,"temporary auditory threshold shift, left ear"
H93.243,"temporary auditory threshold shift, bilateral"
H93.249,"temporary auditory threshold shift, unspecified ear"
H93.25,central auditory processing disorder
H93.291,"other abnormal auditory perceptions, right ear"
H93.292,"other abnormal auditory perceptions, left ear"
H93.293,"other abnormal auditory perceptions, bilateral"
H93.299,"other abnormal auditory perceptions, unspecified ear"
H93.3X1,disorders of right acoustic nerve
H93.3X2,disorders of left acoustic nerve
H93.3X3,disorders of bilateral acoustic nerves
H93.3X9,disorders of unspecified acoustic nerve
H93.8X1,other specified disorders of right ear
H93.8X2,other specified disorders of left ear
H93.8X3,"other specified disorders of ear, bilateral"
H93.8X9,"other specified disorders of ear, unspecified ear"
H93.90,"unspecified disorder of ear, unspecified ear"
H93.91,unspecified disorder of right ear
H93.92,unspecified disorder of left ear
H93.93,"unspecified disorder of ear, bilateral"
H94.00,"acoustic neuritis in infectious and parasitic diseases classified elsewhere, unspecified ear"
H94.01,"acoustic neuritis in infectious and parasitic diseases classified elsewhere, right ear"
H94.02,"acoustic neuritis in infectious and parasitic diseases classified elsewhere, left ear"
H94.03,"acoustic neuritis in infectious and parasitic diseases classified elsewhere, bilateral"
H94.80,"other specified disorders of ear in diseases classified elsewhere, unspecified ear"
H94.81,other specified disorders of right ear in diseases classified elsewhere
H94.82,other specified disorders of left ear in diseases classified elsewhere
H94.83,"other specified disorders of ear in diseases classified elsewhere, bilateral"
H95.00,"recurrent cholesteatoma of postmastoidectomy cavity, unspecified ear"
H95.01,"recurrent cholesteatoma of postmastoidectomy cavity, right ear"
H95.02,"recurrent cholesteatoma of postmastoidectomy cavity, left ear"
H95.03,"recurrent cholesteatoma of postmastoidectomy cavity, bilateral ears"
H95.111,"chronic inflammation of postmastoidectomy cavity, right ear"
H95.112,"chronic inflammation of postmastoidectomy cavity, left ear"
H95.113,"chronic inflammation of postmastoidectomy cavity, bilateral ears"
H95.119,"chronic inflammation of postmastoidectomy cavity, unspecified ear"
H95.121,"granulation of postmastoidectomy cavity, right ear"
H95.122,"granulation of postmastoidectomy cavity, left ear"
H95.123,"granulation of postmastoidectomy cavity, bilateral ears"
H95.129,"granulation of postmastoidectomy cavity, unspecified ear"
H95.131,"mucosal cyst of postmastoidectomy cavity, right ear"
H95.132,"mucosal cyst of postmastoidectomy cavity, left ear"
H95.133,"mucosal cyst of postmastoidectomy cavity, bilateral ears"
H95.139,"mucosal cyst of postmastoidectomy cavity, unspecified ear"
H95.191,"other disorders following mastoidectomy, right ear"
H95.192,"other disorders following mastoidectomy, left ear"
H95.193,"other disorders following mastoidectomy, bilateral ears"
H95.199,"other disorders following mastoidectomy, unspecified ear"
H95.21,intraoperative hemorrhage and hematoma of ear and mastoid process complicating a procedure on the ear and mastoid process
H95.22,intraoperative hemorrhage and hematoma of ear and mastoid process complicating other procedure
H95.31,accidental puncture and laceration of the ear and mastoid process during a procedure on the ear and mastoid process
H95.32,accidental puncture and laceration of the ear and mastoid process during other procedure
H95.41,postprocedural hemorrhage of ear and mastoid process following a procedure on the ear and mastoid process
H95.42,postprocedural hemorrhage of ear and mastoid process following other procedure
H95.51,postprocedural hematoma of ear and mastoid process following a procedure on the ear and mastoid process
H95.52,postprocedural hematoma of ear and mastoid process following other procedure
H95.53,postprocedural seroma of ear and mastoid process following a procedure on the ear and mastoid process
H95.54,postprocedural seroma of ear and mastoid process following other procedure
H95.811,postprocedural stenosis of right external ear canal
H95.812,postprocedural stenosis of left external ear canal
H95.813,"postprocedural stenosis of external ear canal, bilateral"
H95.819,postprocedural stenosis of unspecified external ear canal
H95.88,"other intraoperative complications and disorders of the ear and mastoid process, not elsewhere classified"
H95.89,"other postprocedural complications and disorders of the ear and mastoid process, not elsewhere classified"
I00,rheumatic fever without heart involvement
I01.0,acute rheumatic pericarditis
I01.1,acute rheumatic endocarditis
I01.2,acute rheumatic myocarditis
I01.8,other acute rheumatic heart disease
I01.9,"acute rheumatic heart disease, unspecified"
I02.0,rheumatic chorea with heart involvement
I02.9,rheumatic chorea without heart involvement
I05.0,rheumatic mitral stenosis
I05.1,rheumatic mitral insufficiency
I05.2,rheumatic mitral stenosis with insufficiency
I05.8,other rheumatic mitral valve diseases
I05.9,"rheumatic mitral valve disease, unspecified"
I06.0,rheumatic aortic stenosis
I06.1,rheumatic aortic insufficiency
I06.2,rheumatic aortic stenosis with insufficiency
I06.8,other rheumatic aortic valve diseases
I06.9,"rheumatic aortic valve disease, unspecified"
I07.0,rheumatic tricuspid stenosis
I07.1,rheumatic tricuspid insufficiency
I07.2,rheumatic tricuspid stenosis and insufficiency
I07.8,other rheumatic tricuspid valve diseases
I07.9,"rheumatic tricuspid valve disease, unspecified"
I08.0,rheumatic disorders of both mitral and aortic valves
I08.1,rheumatic disorders of both mitral and tricuspid valves
I08.2,rheumatic disorders of both aortic and tricuspid valves
I08.3,"combined rheumatic disorders of mitral, aortic and tricuspid valves"
I08.8,other rheumatic multiple valve diseases
I08.9,"rheumatic multiple valve disease, unspecified"
I09.0,rheumatic myocarditis
I09.1,"rheumatic diseases of endocardium, valve unspecified"
I09.2,chronic rheumatic pericarditis
I09.81,rheumatic heart failure
I09.89,other specified rheumatic heart diseases
I09.9,"rheumatic heart disease, unspecified"
I10,essential (primary) hypertension
I11.0,hypertensive heart disease with heart failure
I11.9,hypertensive heart disease without heart failure
I12.0,hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease
